,Url,Domain Age,Page Rank,Is Free,Validation Period,Has Protective Status,Has Strong Security,Caching,Compressed
0,https://wpengine.com,5343,7,True,90.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,True
1,https://media-rocks.com,-1,0,,,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",False,False
2,https://nvzhuang.tmall.com,9870,2,False,396.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,True
3,https://hupu.com,9053,5,False,366.0,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,True
4,https://wikidot.com,6755,5,False,367.0,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,True
5,https://2kmtcentral.com,3521,3,True,89.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,False
6,https://codeplex.com,8904,6,False,180.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,True
7,https://postpopular.com,5192,2,,,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",False,False
8,https://1001fonts.com,9080,6,True,89.0,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,True
9,https://cibc.com,11285,6,False,378.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,True
10,https://hackstore.net,6679,3,False,364.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,False
11,https://ispacebank.com,3791,0,,,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",False,False
12,https://jia.tmall.com,9870,1,False,396.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,True
13,https://mintmanga.com,5708,3,True,89.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",False,False
14,https://namesakeoscilloscopemarquis.com,3169,2,,,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",False,False
15,https://nanzhuang.tmall.com,9870,2,False,396.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,True
16,https://muabannhanh.com,6737,4,True,89.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,True
17,https://t411.al,-1,3,True,89.0,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,False
18,https://x-vulkan.net,-1,0,,,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",False,False
19,https://hyxyr.tmall.com,9870,1,False,396.0,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,True
20,https://freepik.es,-1,6,True,90.0,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,True
21,https://bilutv.com,3376,2,,,True,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",False,False
22,https://heureka.cz,-1,6,True,90.0,,"[True, None, True, None, None, True, True, None, None, True, True, None, True, True, None, True, True, None, None, True, None, True, None]",True,True
